Country,Code,Region,Year,Gini,Slums
Angola,AGO,Africa,2018,51.3,62.6
Albania,ALB,Europe,2018,30.1,5.3
Armenia,ARM,Europe,2018,34.4,8.4
Benin,BEN,Africa,2018,37.8,68.3
Burkina Faso,BFA,Africa,2018,47.3,32.1
Belarus,BLR,Europe,2018,25.2,3.8
Cote d'Ivoire,CIV,Africa,2018,37.2,53.2
Colombia,COL,Latin America and Caribbean,2018,50.4,9.7
Costa Rica,CRI,Latin America and Caribbean,2018,48,4.5
Dominican Republic,DOM,Latin America and Caribbean,2018,43.7,11.2
Georgia,GEO,Europe,2018,36.4,7.8
Guinea,GIN,Africa,2018,29.6,48.2
Guinea-Bissau,GNB,Africa,2018,34.8,64.4
Honduras,HND,Latin America and Caribbean,2018,48.9,31.5
Indonesia,IDN,Asia,2018,38.4,20.2
India,IND,Asia,2018,34.6,49
Ireland,IRL,Europe,2018,30.6,8.5
Kazakhstan,KAZ,Asia,2018,27.8,0.8
Kyrgyz Republic,KGZ,Asia,2018,27.7,6.9
Lao PDR,LAO,Asia,2018,38.8,23.6
Moldova,MDA,Europe,2018,25.7,6.5
Mexico,MEX,Latin America and Caribbean,2018,46.7,17.6
Mali,MLI,Africa,2018,36.1,46.1
Montenegro,MNE,Europe,2018,36.8,10
Mongolia,MNG,Asia,2018,32.7,21.9
Niger,NER,Africa,2018,37.3,70.4
Nigeria,NGA,Africa,2018,35.1,51.5
Pakistan,PAK,Asia,2018,29.6,57.5
Panama,PAN,Latin America and Caribbean,2018,49.2,16.3
Philippines,PHL,Asia,2018,42.3,37.3
Paraguay,PRY,Latin America and Caribbean,2018,46,15.1
Senegal,SEN,Africa,2018,38.1,35.2
Sierra Leone,SLE,Africa,2018,35.7,53.4
El Salvador,SLV,Latin America and Caribbean,2018,38.6,16.5
Chad,TCD,Africa,2018,37.5,82
Togo,TGO,Africa,2018,42.4,40.1
Thailand,THA,Asia,2018,36.4,7.8
Turkiye,TUR,Europe,2018,41.9,14.1
Tanzania,TZA,Africa,2018,40.5,43
Ukraine,UKR,Europe,2018,26.1,1.1
Vietnam,VNM,Asia,2018,35.7,5.8
